               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11968,            0.028092,            0.030619,           0.0065055,             0.46753,           0.0076584,           0.0020553,             0.13146,             0.01631,            0.032678,              0.0901,              0.0011,              0.0011
                   1,             0.10197,            0.034027,            0.030838,           0.0083443,             0.80195,            0.062381,            0.012445,              0.1164,            0.019194,            0.028704,            0.079277,           0.0022772,           0.0022772
                   2,             0.08728,            0.038003,            0.028877,             0.20392,              0.6039,             0.35796,             0.13932,            0.090372,            0.021232,            0.027004,            0.068431,           0.0034307,           0.0034307
                   3,             0.07611,            0.044287,            0.027297,              0.3703,             0.54514,             0.45265,              0.2066,            0.063569,            0.019105,            0.025502,             0.05756,           0.0045604,           0.0045604
                   4,            0.069035,            0.042874,            0.025891,             0.21321,             0.68182,             0.25455,            0.076889,            0.060492,            0.021707,            0.021023,            0.046666,           0.0056664,           0.0056664
                   5,            0.068117,             0.03805,             0.02509,             0.21347,             0.52922,             0.31505,             0.11224,            0.058688,            0.021546,            0.020665,            0.035749,           0.0067485,           0.0067485
                   6,            0.065342,            0.037211,            0.025742,                0.31,              0.7013,             0.28218,            0.099918,             0.06588,            0.017988,             0.02063,            0.024807,            0.007807,            0.007807
                   7,             0.06623,            0.036328,            0.024199,             0.24419,             0.55695,             0.34127,             0.10905,            0.060559,            0.016169,             0.02107,            0.013842,           0.0088416,           0.0088416
                   8,            0.060999,            0.034019,            0.024687,              0.5731,             0.60065,             0.51778,             0.26765,            0.054349,            0.014015,             0.02173,            0.009208,            0.009208,            0.009208
                   9,            0.063537,             0.03394,            0.023901,             0.30256,             0.68182,             0.43906,             0.14765,            0.056505,            0.013327,            0.022256,            0.009208,            0.009208,            0.009208
                  10,             0.06027,            0.035989,            0.024896,             0.38362,             0.65403,             0.47658,             0.22993,            0.058019,            0.013486,              0.0236,            0.009109,            0.009109,            0.009109
                  11,             0.05719,              0.0338,            0.023418,             0.50324,             0.72727,              0.6845,             0.32913,            0.039863,            0.014621,            0.024327,             0.00901,             0.00901,             0.00901
                  12,            0.050678,            0.033738,            0.023509,             0.35853,             0.70313,             0.46342,             0.27192,            0.048256,            0.013268,            0.025534,            0.008911,            0.008911,            0.008911
                  13,            0.055833,            0.033867,            0.023176,             0.42176,             0.51948,             0.48621,             0.19618,            0.048108,            0.012907,            0.025608,            0.008812,            0.008812,            0.008812
                  14,            0.054599,            0.035312,            0.023028,             0.54505,             0.61039,             0.55802,             0.18667,            0.044892,            0.012556,            0.024094,            0.008713,            0.008713,            0.008713
                  15,            0.054251,            0.031656,            0.022688,             0.41689,             0.73701,             0.54183,             0.33843,            0.043602,            0.012167,            0.022172,            0.008614,            0.008614,            0.008614
                  16,            0.048741,            0.031158,             0.02239,              0.4367,              0.6461,             0.55798,             0.19582,            0.047003,            0.011445,            0.021276,            0.008515,            0.008515,            0.008515
                  17,            0.051145,            0.031351,              0.0215,             0.52257,             0.72727,             0.66773,             0.38862,            0.034799,            0.010213,            0.017723,            0.008416,            0.008416,            0.008416
                  18,            0.044674,            0.033973,            0.021438,             0.34026,             0.77273,             0.53769,             0.35603,            0.045103,            0.010235,            0.016598,            0.008317,            0.008317,            0.008317
                  19,            0.049112,            0.028786,            0.021048,              0.5967,             0.81195,              0.7603,             0.52534,            0.029048,           0.0099933,            0.016313,            0.008218,            0.008218,            0.008218
                  20,            0.042475,            0.029634,            0.019645,             0.53118,             0.78247,             0.71523,             0.44079,            0.040034,           0.0097332,            0.014639,            0.008119,            0.008119,            0.008119
                  21,            0.047391,            0.029349,            0.020197,              0.6952,             0.82792,             0.81895,             0.51182,            0.033902,           0.0094917,            0.015339,             0.00802,             0.00802,             0.00802
                  22,            0.040217,            0.028131,            0.019099,             0.71157,             0.84995,             0.85223,              0.4966,            0.033884,           0.0095103,            0.016653,            0.007921,            0.007921,            0.007921
                  23,            0.042344,            0.027287,            0.017982,             0.73455,             0.90909,             0.87594,             0.51638,            0.030362,           0.0097528,            0.017549,            0.007822,            0.007822,            0.007822
                  24,            0.038886,            0.027657,            0.020388,             0.61824,             0.83766,             0.75494,             0.43022,            0.033324,           0.0096024,            0.020879,            0.007723,            0.007723,            0.007723
                  25,            0.044001,            0.029638,            0.016806,              0.8215,             0.97677,             0.93429,             0.63852,            0.026075,           0.0089726,            0.019715,            0.007624,            0.007624,            0.007624
                  26,            0.037599,             0.02994,            0.016187,             0.59956,             0.87458,             0.79507,             0.45141,            0.034876,           0.0090315,            0.013232,            0.007525,            0.007525,            0.007525
                  27,            0.043628,            0.027276,            0.015874,              0.8379,             0.95455,             0.96113,             0.69914,            0.026268,           0.0085891,            0.011618,            0.007426,            0.007426,            0.007426
                  28,            0.038321,            0.027604,            0.015455,             0.75563,             0.88154,             0.89483,             0.52097,            0.030631,           0.0085274,           0.0093719,            0.007327,            0.007327,            0.007327
                  29,            0.042118,            0.028096,            0.015556,             0.81215,             0.96442,             0.90582,             0.60871,            0.027682,           0.0086351,           0.0083616,            0.007228,            0.007228,            0.007228
