               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.124,             0.03906,             0.03096,           0.0082598,             0.20779,           0.0075706,           0.0017096,            0.083301,             0.02601,             0.02109,              0.0955,              0.0005,              0.0005
                   1,             0.11048,            0.039759,            0.030394,            0.012384,             0.44156,            0.034429,            0.012135,             0.06927,            0.026281,            0.019162,            0.090089,           0.0010891,           0.0010891
                   2,            0.095497,            0.042178,            0.029799,            0.010884,             0.52273,             0.15267,            0.055846,            0.052835,            0.026831,            0.018053,            0.084666,           0.0016663,           0.0016663
                   3,             0.08287,            0.047278,            0.029198,             0.01085,             0.52273,             0.19057,            0.075058,            0.049079,            0.026173,            0.017367,            0.079232,           0.0022317,           0.0022317
                   4,            0.076189,            0.047965,            0.026652,             0.21399,              0.4147,             0.21208,            0.094845,            0.041686,            0.024856,            0.016537,            0.073785,           0.0027852,           0.0027852
                   5,            0.070665,            0.047599,            0.026251,             0.37437,             0.34091,             0.33173,             0.12507,            0.038546,            0.022669,            0.015863,            0.068327,           0.0033267,           0.0033267
                   6,            0.068117,             0.04218,            0.025773,             0.35335,             0.34091,             0.31156,             0.15598,            0.035575,            0.022703,            0.015439,            0.062856,           0.0038565,           0.0038565
                   7,             0.06431,            0.040783,             0.02526,             0.34431,             0.46753,             0.37702,              0.2105,            0.036653,            0.026428,            0.016141,            0.057374,           0.0043743,           0.0043743
                   8,            0.061273,             0.03709,            0.023837,             0.30939,             0.78736,             0.58068,             0.28031,            0.032539,            0.021844,            0.016822,             0.05188,           0.0048802,           0.0048802
                   9,            0.061909,            0.035784,            0.023243,             0.40451,             0.56116,             0.53586,             0.29055,            0.032459,            0.017292,            0.016247,            0.046374,           0.0053743,           0.0053743
                  10,            0.057665,            0.039202,            0.024601,             0.46568,             0.41234,             0.45156,             0.18314,            0.039869,            0.015018,            0.015908,            0.040857,           0.0058565,           0.0058565
                  11,            0.056005,              0.0364,            0.023575,             0.25693,             0.65584,             0.39984,             0.19237,            0.048095,            0.013257,            0.015609,            0.035327,           0.0063268,           0.0063268
                  12,            0.059277,              0.0333,            0.024079,             0.42003,             0.69156,             0.62933,             0.29146,             0.03428,            0.013798,            0.015591,            0.029785,           0.0067852,           0.0067852
                  13,            0.053089,            0.038598,            0.021799,             0.41943,             0.53835,             0.55958,              0.2613,            0.038474,            0.013627,            0.015544,            0.024232,           0.0072318,           0.0072318
                  14,            0.053673,            0.030417,            0.026413,             0.49131,             0.65584,              0.5581,             0.25304,            0.034175,            0.014353,            0.014954,            0.018666,           0.0076665,           0.0076665
                  15,            0.056239,            0.033276,            0.020497,             0.39931,             0.74675,             0.58604,             0.24868,            0.030881,            0.012968,            0.014313,            0.013089,           0.0080892,           0.0080892
                  16,             0.05715,            0.033289,            0.022496,             0.30622,             0.65584,             0.49601,             0.21359,            0.053365,            0.012789,            0.014164,            0.008416,            0.008416,            0.008416
                  17,            0.060801,            0.031909,            0.021005,             0.32226,             0.79221,             0.50741,             0.18497,            0.043969,             0.01143,            0.014363,            0.008416,            0.008416,            0.008416
                  18,            0.057684,            0.032122,            0.021224,             0.33228,             0.84397,             0.51431,             0.25782,            0.036723,            0.011453,            0.013588,            0.008317,            0.008317,            0.008317
                  19,            0.049109,             0.02939,            0.027503,             0.38526,             0.82792,             0.54945,             0.18868,            0.034698,            0.011726,            0.012763,            0.008218,            0.008218,            0.008218
                  20,            0.049803,            0.033698,            0.023365,             0.44019,             0.65603,             0.58448,             0.33492,            0.036072,            0.011853,             0.01174,            0.008119,            0.008119,            0.008119
                  21,             0.04692,            0.033638,            0.023484,             0.52503,             0.71104,             0.63627,             0.41114,            0.034121,            0.012443,            0.011354,             0.00802,             0.00802,             0.00802
                  22,            0.045417,            0.030477,            0.021225,             0.67323,             0.67532,             0.71794,             0.32837,            0.034931,            0.011395,            0.010955,            0.007921,            0.007921,            0.007921
                  23,            0.044147,            0.030714,            0.020684,             0.54485,             0.75382,             0.62934,              0.2703,            0.031105,            0.010745,           0.0098943,            0.007822,            0.007822,            0.007822
                  24,            0.043724,            0.026745,            0.021033,             0.79617,             0.74675,             0.78746,             0.41977,             0.03344,            0.010401,           0.0093852,            0.007723,            0.007723,            0.007723
                  25,            0.043074,            0.032563,            0.021408,             0.69743,             0.65951,             0.72229,             0.38036,             0.03019,            0.011379,           0.0083412,            0.007624,            0.007624,            0.007624
                  26,            0.041956,            0.031621,            0.020187,             0.87823,             0.76906,             0.86253,             0.48421,            0.026824,            0.011265,           0.0079102,            0.007525,            0.007525,            0.007525
                  27,            0.038229,            0.028036,            0.018556,             0.78802,             0.70095,             0.78433,             0.38774,            0.030176,            0.011793,           0.0069637,            0.007426,            0.007426,            0.007426
                  28,            0.043228,            0.029966,            0.016947,             0.75407,             0.59161,             0.72525,              0.4108,            0.029592,            0.011437,           0.0065865,            0.007327,            0.007327,            0.007327
                  29,            0.044898,            0.027962,            0.018959,             0.66891,             0.71295,             0.79274,             0.45226,             0.02494,            0.011332,           0.0052803,            0.007228,            0.007228,            0.007228
                  30,            0.039921,            0.026684,             0.01621,               0.653,             0.74675,             0.72979,             0.40948,            0.028564,            0.010933,           0.0045768,            0.007129,            0.007129,            0.007129
                  31,            0.036152,            0.029825,            0.014485,             0.82374,             0.82792,             0.84946,             0.47718,            0.032319,            0.010534,             0.00398,             0.00703,             0.00703,             0.00703
                  32,            0.043702,            0.027004,            0.017412,             0.96137,             0.82792,             0.94742,             0.60655,            0.020617,           0.0099795,           0.0051531,            0.006931,            0.006931,            0.006931
                  33,            0.035756,            0.028342,            0.013806,             0.77051,             0.87338,             0.87513,             0.47091,            0.026512,           0.0095745,           0.0070549,            0.006832,            0.006832,            0.006832
                  34,            0.040297,             0.02847,            0.013379,             0.81252,             0.82792,             0.88499,             0.53942,            0.023843,           0.0095503,             0.01018,            0.006733,            0.006733,            0.006733
                  35,            0.038103,            0.027055,            0.014301,             0.70342,             0.82792,             0.84742,             0.45553,            0.026717,           0.0095507,            0.011827,            0.006634,            0.006634,            0.006634
                  36,            0.040477,            0.025009,            0.011157,             0.77701,             0.82792,             0.88628,             0.49868,            0.024112,           0.0089735,            0.011235,            0.006535,            0.006535,            0.006535
                  37,            0.039357,            0.026625,            0.010215,             0.80456,             0.94584,             0.96297,             0.58482,            0.023622,           0.0084468,           0.0077353,            0.006436,            0.006436,            0.006436
